pedology_lab_id,row_num,x,y,lbc,lbc_eq,p_h_2,ca,k,mg,mn,p,zn
240641,115I,-83.73049802,32.43142917,237,682,6.26,697,78.3,105.5,25.53,35.74,3.98
240643,116I,-83.72954134,32.43142586,133,300,7.13,609,105.1,114.9,24.97,19.06,3.34
240645,117I,-83.72858465,32.43142253,198,539,6.97,530,79.9,82.6,21.21,17.16,2.44
240647,118I,-83.72762797,32.4314192,194,524,7.28,620,74.1,144.6,17.82,33.91,2.15
240649,119I,-83.72667128,32.43141586,166,421,6.54,310,87,43.8,16.68,16.53,1.79
240651,120I,-83.7257146,32.43141252,131,293,6.37,281,29.9,42.7,9.89,12.1,1.84
240653,121I,-83.72475791,32.43140917,164,414,6,304,75.4,41.7,12.11,16.62,1.97
240655,122I,-83.72380123,32.43140581,205,564,6.01,463,97.5,95.3,17.89,27.78,3.79
240657,123I,-83.72284454,32.43140244,215,601,6.47,564,152.6,66.4,22.15,36.03,3.99
240659,136J,-83.72475966,32.43059998,243,704,5.83,506,135.6,59.5,29.33,29.1,3.24
240661,125J,-83.73528532,32.43063429,177,461,6.86,607,117.3,110.3,23.83,31.63,2.13
240663,126J,-83.73432864,32.43063101,203,557,5.65,359,71.3,45.2,19.32,22.6,3.68
240665,127J,-83.73337196,32.43062772,277,803,5.55,409,84.3,36.2,25.72,34.87,3.57
240667,128J,-83.73241528,32.43062443,204,561,5.68,324,58.4,34.8,22.25,16.34,2.09
240669,129J,-83.73145861,32.43062113,182,480,5.96,317,62.8,27.6,17.79,18.4,1.72
240671,130J,-83.73050193,32.43061782,211,586,6.82,533,95.9,64.1,16.74,24.73,2.12
240673,131J,-83.72954525,32.4306145,197,535,6.8,473,81.4,71.7,14.96,18.45,3.15
240675,132J,-83.72858857,32.43061118,171,439,7.02,617,163.5,65.7,20.15,25.26,3.1
240677,133J,-83.7276319,32.43060785,193,520,7.02,764,84.5,95.9,19.08,30.59,3.28
240679,134J,-83.72667522,32.43060451,149,359,6.78,310,33,50.1,13.69,18.8,2.09
240681,135J,-83.72571854,32.43060117,199,542,6.91,500,132.4,52.6,15.63,24.44,3.19
240683,136J,-83.736247,32.430664,187,498,6.16,425,71.3,53.3,14.62,12.74,2.51
